"타임스탬프","학부모의 연령대","학부모의 학력","학부모의 직업","자녀의 학년","자녀의 학교 활동에 얼마나 참여하시나요?


예: 학교 행사 참석, 학부모 모임 및 회의 참여 등","자녀의 교사와 얼마나 자주 소통하시나요?","나는 자녀의 학습에 대해 충분히 도와줄 수 있다고 생각한다.","나는 자녀의 학습 문제를 해결할 수 있는 능력이 있다고 생각한다.","나는 자녀의 학습 동기를 높일 수 있다고 믿는다","자녀는 학교생활에 얼마나 만족하고 있나요?","자녀의 학업 성취도는 어느 정도라고 생각하나요?","자녀의 학업을 위해 어떤 방식으로 지원하고 계시나요? (복수 선택 가능)","자녀의 학습 환경을 조성하기 위해 어떤 노력을 하고 계시나요? (복수 선택 가능)","자녀가 학업에 대해 얼마나 긍정적인 태도를 갖고 있나요?","자녀의 학업 성취도에 가장 큰 영향을 미치는 요인은 무엇이라고 생각하나요? (자유 응답)


예: 교사의 역량, 자녀의 학습 태도 등","학부모로서 자녀의 학업 지원에 있어 가장 큰 어려움은 무엇이라고 생각하나요? (자유 응답)


예: 경제적 문제, 시간 등"
"6/6/2024 15:40:27","40대","대졸","자영업","고등학교 (10~12학년)","전혀 참여하지 않는다","가끔 소통한다","보통이다","보통이다","그렇다","약간 만족한다","보통이다","학원 등록, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","보통이다","",""
"6/6/2024 18:10:19","50대 이상","대학원 졸","자영업","고등학교 (10~12학년)","보통이다","가끔 소통한다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","보통이다","보통이다","개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","자녀의 마음가짐","학업지원 해줘도 목표치만큼 성과가 나오지않음"
"6/6/2024 18:10:44","40대","대졸","직장인","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","그렇지 않다","그렇지 않다","보통이다","약간 만족한다","보통이다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","자녀의 학습태도","시간"
"6/6/2024 18:12:56","50대 이상","대졸","주부","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","매우 낮다","개인 과의","조용한 학습 공간 마련","약간 부정적이다","교사의 역량, 친구들과의 관계에서 동기부여","소통과 상호 신뢰"
"6/6/2024 18:13:07","","","","","","","","","","","","","","","",""
"6/6/2024 18:15:37","50대 이상","대학원 졸","주부","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇다","그렇다","그렇다","약간 만족한다","높다","학원 등록, 온라인 교육 프로그램, 자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 긍정적이다","자녀의 학습계획과 실천과 결과의 전체과정","경제적 문제/ 해외에서 구하기어려운 교재"
"6/6/2024 18:20:36","40대","대학원 졸","주부","고등학교 (10~12학년)","자주 참여한다","가끔 소통한다","보통이다","보통이다","그렇다","약간 만족한다","높다","학원 등록, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 자녀의 학습 습관 점검","약간 긍정적이다","학습태도  교사의 역량",""
"6/6/2024 18:22:17","50대 이상","대졸","주부","고등학교 (10~12학년)","보통이다","전혀 소통하지 않는다","그렇지 않다","그렇지 않다","보통이다","약간 만족하지 않는다","높다","많은 이야기를 하고 들어준다","자녀의 학습 습관 점검","약간 긍정적이다","아이의 관심","경제적 문제"
"6/6/2024 18:22:25","40대","대졸","주부","고등학교 (10~12학년)","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","학원 등록, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","학습태도(동기부여)","자녀의 마음에 대한 공감"
"6/6/2024 18:24:28","50대 이상","대졸","주부","고등학교 (10~12학년)","전혀 참여하지 않는다","가끔 소통한다","매우 그렇다","매우 그렇다","그렇지 않다","약간 만족한다","보통이다","학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","보통이다","자녀의 학습태도, 학습에 대한 의지","소통"
"6/6/2024 18:35:17","50대 이상","고졸 이하","직장인","고등학교 (10~12학년)","","보통이다","","그렇지 않다","보통이다","보통이다","보통이다","학원 등록","규칙적인 학습 시간 제공","보통이다","가정사","시간적인문제"
"6/6/2024 18:44:03","50대 이상","대졸","주부","중학교 (7~9학년)","전혀 참여하지 않는다","전혀 소통하지 않는다","보통이다","그렇다","보통이다","약간 만족한다","낮다","학원 등록","자녀의 학습 습관 점검","보통이다","자녀의 학습 태도","경제적 문제"
"6/6/2024 22:09:22","40대","대학원 졸","주부","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","보통이다","그렇다","보통이다","매우 만족한다","높다","학원 등록, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 긍정적이다","자녀의 역량","경제적 문제"
"6/7/2024 10:51:10","50대 이상","대졸","주부","고등학교 (10~12학년)","자주 참여한다","보통이다","보통이다","보통이다","보통이다","약간 만족한다","보통이다","학원 등록, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 자녀의 학습 습관 점검","보통이다","본인의 의지","지원에 어려움은 없습니다"
"6/8/2024 16:28:30","20대","대졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","가끔 소통한다","그렇다","그렇다","그렇다","약간 만족한다","보통이다","학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 규칙적인 학습 시간 제공","보통이다","자녀의 태도","시간"
"6/8/2024 16:30:57","20대","대졸","직장인","초등학교 고학년 (4~6학년)","전혀 참여하지 않는다","전혀 소통하지 않는다","그렇지 않다","그렇다","그렇지 않다","약간 만족한다","낮다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 부정적이다","교사의 역량","자녀가 힘들어하는 점이 뭔지 모르겠음"
"6/8/2024 16:32:35","20대","대졸","직장인","초등학교 고학년 (4~6학년)","자주 참여한다","보통이다","그렇다","그렇지 않다","그렇지 않다","약간 만족하지 않는다","높다","학원 등록, 개인 과의, 온라인 교육 프로그램","규칙적인 학습 시간 제공","약간 부정적이다","",""
"6/8/2024 16:33:53","20대","대졸","주부","초등학교 저학년 (1~3학년)","항상 참여한다","자주 소통한다","그렇다","그렇다","그렇다","약간 만족한다","보통이다","자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","자녀의 마음가짐",""
"6/8/2024 16:37:50","20대","고졸 이하","주부","초등학교 고학년 (4~6학년)","가끔 참여한다","보통이다","보통이다","그렇지 않다","그렇다","약간 만족한다","높다","온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련","약간 긍정적이다","",""
"6/8/2024 16:49:07","20대","고졸 이하","자영업","초등학교 저학년 (1~3학년)","전혀 참여하지 않는다","가끔 소통한다","그렇지 않다","그렇지 않다","그렇다","약간 만족하지 않는다","보통이다","학원 등록, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 부정적이다","",""
"6/8/2024 16:50:09","20대","대졸","주부","초등학교 고학년 (4~6학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","보통이다","약간 만족한다","높다","자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","매우 긍정적이다","부모의 태도",""
"6/8/2024 16:51:23","20대","고졸 이하","주부","초등학교 저학년 (1~3학년)","항상 참여한다","항상 소통한다","그렇다","그렇지 않다","매우 그렇다","매우 만족한다","매우 높다","자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","매우 긍정적이다","부모의 마음가짐",""
"6/8/2024 16:53:21","20대","대졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","가끔 소통한다","그렇지 않다","그렇다","그렇지 않다","약간 만족하지 않는다","높다","학원 등록, 개인 과의","학습 도구 제공(컴퓨터, 아이패드), 집에서 친구와 같이 학습할 수 있는 환경 제공","보통이다","또래 아이들과 함께 하는게 중요한 것 같다",""
"6/8/2024 16:55:56","20대","고졸 이하","자영업","초등학교 저학년 (1~3학년)","가끔 참여한다","가끔 소통한다","그렇다","그렇지 않다","그렇지 않다","매우 만족한다","높다","자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","매우 긍정적이다","친구들과의 관계",""
"6/8/2024 16:58:16","30대","대졸","직장인","초등학교 고학년 (4~6학년)","가끔 참여한다","자주 소통한다","그렇다","그렇다","보통이다","약간 만족한다","낮다","개인 과의, 자녀와 함께 학습 시간 갖기","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","보통이다","",""
"6/8/2024 17:01:25","30대","대학원 졸","사업","중학교 (7~9학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","보통이다","약간 만족한다","매우 높다","개인 과의, 온라인 교육 프로그램, 자녀와 함께 학습 시간 갖기","학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","학습에 대한 동기부여",""
"6/8/2024 17:03:28","30대","대졸","주부","초등학교 고학년 (4~6학년)","항상 참여한다","자주 소통한다","보통이다","매우 그렇다","보통이다","약간 만족한다","보통이다","학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","자녀가 하고싶은 걸 하는 것",""
"6/8/2024 17:04:47","30대","대졸","직장인","중학교 (7~9학년)","가끔 참여한다","보통이다","그렇다","매우 그렇다","그렇지 않다","약간 만족한다","매우 높다","학원 등록, 자녀와 함께 학습 시간 갖기","학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","",""
"6/8/2024 17:07:00","30대","대학원 졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","보통이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 만족한다","매우 높다","자녀와 함께 학습 시간 갖기, 자녀가 힘들어하는 점을 들어준다.","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 긍정적이다","부모가 아이에 대해 얼마나 많이 알고 있는 지","아이의 상황을 모를 때 대처하기 힘들다"
"6/8/2024 17:09:15","30대","고졸 이하","주부","중학교 (7~9학년)","항상 참여한다","항상 소통한다","그렇다","보통이다","보통이다","매우 만족한다","매우 낮다","온라인 교육 프로그램, 자녀와 함께 학습 시간 갖기","집에 친구들을 부를 수 있는 환경 조성","보통이다","",""
"6/8/2024 17:30:48","30대","대학원 졸","직장인","초등학교 고학년 (4~6학년)","보통이다","자주 소통한다","그렇다","그렇다","그렇지 않다","약간 만족하지 않는다","낮다","개인 과의, 온라인 교육 프로그램","학습 도구 제공(컴퓨터, 아이패드), 자녀의 학습 습관 점검","약간 부정적이다","",""
"6/8/2024 17:33:15","30대","대학원 졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","항상 소통한다","그렇다","그렇다","그렇지 않다","약간 만족한다","매우 높다","학원 등록, 개인 과의, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 부정적이다","",""
"6/8/2024 18:11:12","30대","대졸","주부","초등학교 고학년 (4~6학년)","자주 참여한다","항상 소통한다","보통이다","그렇다","그렇지 않다","전혀 만족하지 않는다","높다","학원 등록, 개인 과의, 온라인 교육 프로그램","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 부정적이다","",""
"6/8/2024 18:21:32","40대","고졸 이하","주부","중학교 (7~9학년)","자주 참여한다","자주 소통한다","그렇다","","보통이다","약간 만족하지 않는다","높다","개인 과의, 자녀와 함께 학습 시간 갖기","학습 도구 제공(컴퓨터, 아이패드), 자녀의 학습 습관 점검","보통이다","",""
"6/8/2024 18:22:13","30대","대졸","직장인","초등학교 고학년 (4~6학년)","가끔 참여한다","자주 소통한다","보통이다","전혀 그렇지 않다","그렇다","약간 만족한다","보통이다","개인 과의, 온라인 교육 프로그램","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 긍정적이다","",""
"6/8/2024 18:22:47","30대","대졸","주부","중학교 (7~9학년)","자주 참여한다","자주 소통한다","그렇지 않다","그렇지 않다","그렇다","약간 만족한다","보통이다","온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","",""
"6/8/2024 18:23:21","30대","대졸","직장인","중학교 (7~9학년)","보통이다","가끔 소통한다","그렇지 않다","보통이다","그렇다","보통이다","매우 높다","학원 등록, 개인 과의","조용한 학습 공간 마련, 자녀의 학습 습관 점검","약간 긍정적이다","",""
"6/8/2024 18:23:59","30대","대졸","자영업","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","보통이다","그렇지 않다","그렇다","보통이다","낮다","학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련","약간 부정적이다","",""
"6/8/2024 18:24:34","30대","대학원 졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","가끔 소통한다","그렇다","매우 그렇다","그렇지 않다","약간 만족한다","높다","학원 등록, 개인 과의","규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 부정적이다","",""
"6/8/2024 18:25:02","30대","대졸","주부","초등학교 고학년 (4~6학년)","항상 참여한다","항상 소통한다","보통이다","그렇다","그렇다","약간 만족하지 않는다","낮다","온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 부정적이다","",""
"6/8/2024 18:25:33","30대","대졸","직장인","초등학교 고학년 (4~6학년)","전혀 참여하지 않는다","가끔 소통한다","그렇다","그렇다","그렇지 않다","약간 만족하지 않는다","높다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 부정적이다","",""
"6/8/2024 18:26:14","30대","대졸","주부","중학교 (7~9학년)","자주 참여한다","보통이다","보통이다","보통이다","그렇지 않다","매우 만족한다","매우 낮다","자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","보통이다","",""
"6/8/2024 18:26:42","30대","대학원 졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","전혀 소통하지 않는다","그렇지 않다","그렇지 않다","그렇다","약간 만족한다","높다","학원 등록, 개인 과의, 온라인 교육 프로그램","학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","",""
"6/8/2024 18:27:31","30대","고졸 이하","자영업","중학교 (7~9학년)","항상 참여한다","항상 소통한다","그렇지 않다","보통이다","매우 그렇다","약간 만족한다","높다","학원 등록, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","",""
"6/8/2024 18:28:04","30대","대학원 졸","직장인","초등학교 저학년 (1~3학년)","가끔 참여한다","전혀 소통하지 않는다","그렇다","그렇다","전혀 그렇지 않다","약간 만족하지 않는다","높다","학원 등록, 개인 과의","조용한 학습 공간 마련, 규칙적인 학습 시간 제공","약간 긍정적이다","",""
"6/8/2024 18:28:55","40대","고졸 이하","직장인","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇지 않다","그렇지 않다","매우 그렇다","매우 만족한다","높다","학원 등록, 개인 과의, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","매우 긍정적이다","",""
